transaction_time,user_id,transaction_amt,narration,transaction_type,txn_id,month,month2
2/27/2020,9,1342,IMPS,CREDIT,DEC40462,2,2
1/12/2020,5,2067,IMPS,CREDIT,B63EFBB3,1,1
4/3/2020,7,5010,IMPS,DEBIT,70B64FDF,4,4
7/11/2020,8,5938,IMPS,CREDIT,14855D5C,7,7
2/25/2020,5,6727,IMPS,CREDIT,5DB0F213,2,2
3/13/2020,9,8348,IFT,CREDIT,85327725,3,3
1/3/2020,3,7732,IFT,CREDIT,B14E97B6,1,1
2/11/2020,4,6817,IFT,CREDIT,EFDEAF55,2,2
1/16/2020,4,221,IFT,CREDIT,515A6427,1,1
4/25/2020,9,4699,IFT,CREDIT,6BC13EC0,4,4
5/28/2020,9,7610,IFT,CREDIT,EECB79DC,5,5
3/25/2020,2,6161,IFT,CREDIT,A3A886C7,3,3
6/11/2020,1,4638,IFT,CREDIT,CF8ABA20,6,6
3/22/2020,7,7563,IFT,CREDIT,2315FB34,3,3
4/22/2020,9,1321,IFT,CREDIT,73860121,4,4
6/7/2020,5,4476,IFT,CREDIT,34FC827F,6,6
3/22/2020,4,6423,IMPS,DEBIT,A604627E,3,3
3/20/2020,2,715,IFT,CREDIT,CB2A6FAF,3,3
4/13/2020,4,7010,IMPS,CREDIT,A9632A52,4,4
1/2/2020,5,4994,IMPS,DEBIT,EA567B31,1,1
7/13/2020,2,507,IMPS,DEBIT,7F9BA667,7,7
5/8/2020,2,2293,IFT,CREDIT,D4595CFD,5,5
7/23/2020,5,5373,IMPS,CREDIT,C96DFA3E,7,7
4/4/2020,10,7437,IMPS,CREDIT,0693ED56,4,4
4/24/2020,7,4601,IMPS,CREDIT,C10D8678,4,4
7/3/2020,8,854,IMPS,DEBIT,A81BF0FC,7,7
1/16/2020,10,8238,IMPS,DEBIT,A7EFA0C5,1,1
3/29/2020,8,9652,IMPS,CREDIT,2047F099,3,3
3/19/2020,6,1010,IMPS,CREDIT,D225A798,3,3
7/12/2020,8,4752,IMPS,DEBIT,D4D4C6B6,7,7
1/29/2020,7,108,IMPS,CREDIT,C8B7AED3,1,1
4/6/2020,3,6606,IMPS,DEBIT,F565C021,4,4
6/17/2020,1,4716,IFT,CREDIT,C8054F76,6,6
7/15/2020,6,9543,IFT,DEBIT,5ACA782E,7,7
1/21/2020,8,2535,IFT,DEBIT,EB865979,1,1
5/18/2020,2,4553,IMPS,DEBIT,D983D385,5,5
6/9/2020,9,9327,IFT,CREDIT,6D9D6FC1,6,6
6/24/2020,1,8618,IMPS,CREDIT,9AB3BD74,6,6
6/27/2020,4,6048,IFT,CREDIT,8CCACF1A,6,6
4/26/2020,6,308,NEFT,CREDIT,A3398830,4,4
4/16/2020,3,1751,IMPS,CREDIT,77ADC4CE,4,4
6/30/2020,10,5536,IMPS,CREDIT,50771D57,6,6
5/14/2020,6,9455,IMPS,CREDIT,6B279C0C,5,5
3/21/2020,7,8405,IFT,CREDIT,4B59576F,3,3
3/27/2020,2,7757,IMPS,DEBIT,49DB004C,3,3
7/19/2020,5,5722,IMPS,DEBIT,F7002F87,7,7
3/9/2020,7,842,IMPS,DEBIT,FE6F1F09,3,3
2/7/2020,2,8143,IMPS,DEBIT,4709A18A,2,2
7/4/2020,5,6132,IMPS,DEBIT,12AE06C6,7,7
7/22/2020,5,2004,IMPS,CREDIT,EC4C6A99,7,7
3/1/2020,6,2387,IMPS,CREDIT,F10A0D73,3,3
6/7/2020,9,9028,IMPS,CREDIT,03FE04C9,6,6
3/17/2020,3,4216,IMPS,DEBIT,2C8E3B93,3,3
2/20/2020,4,3150,NEFT,CREDIT,AF118674,2,2
4/1/2020,1,5109,NEFT,CREDIT,18FA075C,4,4
4/25/2020,3,188,NEFT,CREDIT,D4534644,4,4
2/6/2020,10,8095,NEFT,CREDIT,A208DD7D,2,2
